ss,task,seed,surrogate,mode,ok,regret,mean_cand,err
6767,31,3,tpe,adaptive,1,0.17500000000000016,1000.0,
5906,9971,0,tpe,full,1,0.05881445155095133,239.5,
5906,9971,0,tpe,restricted,1,0.08823882439685149,239.5,
5906,9971,0,tpe,adaptive,1,0.05881445155095133,239.5,
5906,9971,1,tpe,full,1,0.05881445155095133,239.5,
5906,9971,1,tpe,restricted,1,0.08823882439685149,239.5,
5906,9971,1,tpe,adaptive,1,0.05881445155095133,239.5,
5906,9971,2,tpe,full,1,0.14705327594780482,239.5,
5906,9971,2,tpe,restricted,1,0.05881445155095133,239.5,
5906,9971,2,tpe,adaptive,1,0.14705327594780482,239.5,
5906,9971,3,tpe,full,1,0.08823882439685149,239.5,
5906,9971,3,tpe,restricted,1,0.08823882439685149,239.5,
5906,9971,3,tpe,adaptive,1,0.08823882439685149,239.5,
5906,9971,4,tpe,full,1,0.08823882439685149,239.5,
5906,9971,4,tpe,restricted,1,0.14705327594780482,239.5,
5906,9971,4,tpe,adaptive,1,0.08823882439685149,239.5,
5906,3918,0,tpe,full,1,0.1818059616224761,244.5,
5906,3918,0,tpe,restricted,1,0.1818059616224761,244.5,
5906,3918,0,tpe,adaptive,1,0.1818059616224761,244.5,
5906,3918,1,tpe,full,1,0.1818059616224761,244.5,
5906,3918,1,tpe,restricted,1,0.1818059616224761,244.5,
5906,3918,1,tpe,adaptive,1,0.1818059616224761,244.5,
5906,3918,2,tpe,full,1,0.1818059616224761,244.5,
5906,3918,2,tpe,restricted,1,0.1818059616224761,244.5,
5906,3918,2,tpe,adaptive,1,0.1818059616224761,244.5,
5906,3918,3,tpe,full,1,0.21211815707228476,244.5,
5906,3918,3,tpe,restricted,1,0.1818059616224761,244.5,
5906,3918,3,tpe,adaptive,1,0.21211815707228476,244.5,
5906,3918,4,tpe,full,1,0.15152737171085728,244.5,
5906,3918,4,tpe,restricted,1,0.1818059616224761,244.5,
5906,3918,4,tpe,adaptive,1,0.15152737171085728,244.5,
5971,10093,0,tpe,full,1,0.018120831157793726,2250.5,
5971,10093,0,tpe,restricted,1,0.018120831157793726,2000.0,
5971,10093,0,tpe,adaptive,1,0.018120831157793726,2250.5,
5971,10093,1,tpe,full,1,0.0164730719069478,2250.5,
5971,10093,1,tpe,restricted,1,0.018120831157793726,2000.0,
5971,10093,1,tpe,adaptive,1,0.0164730719069478,2250.5,
5971,10093,2,tpe,full,1,0.0164730719069478,2250.5,
5971,10093,2,tpe,restricted,1,0.011532054455165697,2000.0,
5971,10093,2,tpe,adaptive,1,0.0164730719069478,2250.5,
5971,10093,3,tpe,full,1,0.00658877670262803,2250.5,
6767,31,4,tpe,full,1,0.15833333333333344,68233.5,
5971,10093,3,tpe,restricted,1,0.0032932582009360667,2000.0,
5971,10093,3,tpe,adaptive,1,0.00658877670262803,2250.5,
5971,10093,4,tpe,full,1,0.0164730719069478,2250.5,
5971,10093,4,tpe,restricted,1,0.008236535953473956,2000.0,
5971,10093,4,tpe,adaptive,1,0.0164730719069478,2250.5,
5971,3954,0,tpe,full,1,0.039500813890395725,2377.5,
5971,3954,0,tpe,restricted,1,0.012287658082557495,2000.0,
5971,3954,0,tpe,adaptive,1,0.039500813890395725,2377.5,
5971,3954,1,tpe,full,1,0.0,2377.5,
5971,3954,1,tpe,restricted,1,0.031599816352936294,2000.0,
5971,3954,1,tpe,adaptive,1,0.0,2377.5,
5971,3954,2,tpe,full,1,0.022162861555156455,2377.5,
6767,31,4,tpe,restricted,1,0.05833333333333335,2000.0,
5971,3954,2,tpe,restricted,1,0.022162861555156455,2000.0,
5971,3954,2,tpe,adaptive,1,0.022162861555156455,2377.5,
5971,3954,3,tpe,full,1,0.0043866605450979534,2377.5,
5971,3954,3,tpe,restricted,1,0.0401561000041738,2000.0,
5971,3954,3,tpe,adaptive,1,0.0043866605450979534,2377.5,
5971,3954,4,tpe,full,1,0.029842647856755278,2377.5,
5971,3954,4,tpe,restricted,1,0.001974205935138973,2000.0,
5971,3954,4,tpe,adaptive,1,0.029842647856755278,2377.5,
6767,31,4,tpe,adaptive,1,0.16666666666666685,1000.0,
5971,43,0,tpe,full,1,0.009298982246360388,3358.5,
5971,43,0,tpe,restricted,1,0.009298982246360388,2000.0,
5971,43,0,tpe,adaptive,1,0.04835756012961523,1000.0,
5971,43,1,tpe,full,1,0.003100611564967548,3358.5,
5971,43,1,tpe,restricted,1,0.003100611564967548,2000.0,
