ss,task,seed,surrogate,mode,ok,regret,mean_cand,over_pred,err
5971,10093,2,tpe,restricted,1,0.011532054455165697,2000.0,,
5971,10093,3,tpe,full,1,0.00658877670262803,2250.5,,
5971,10093,3,tpe,restricted,1,0.0032932582009360667,2000.0,,
5971,10093,4,tpe,full,1,0.0164730719069478,2250.5,,
5971,10093,4,tpe,restricted,1,0.008236535953473956,2000.0,,
5971,3954,0,tpe,full,1,0.039500813890395725,2377.5,,
5971,3954,0,tpe,restricted,1,0.012287658082557495,2000.0,,
5971,3954,1,tpe,full,1,0.0,2377.5,,
5971,3954,1,tpe,restricted,1,0.031599816352936294,2000.0,,
5971,3954,2,tpe,full,1,0.022162861555156455,2377.5,,
5971,3954,2,tpe,restricted,1,0.022162861555156455,2000.0,,
5971,3954,3,tpe,full,1,0.0043866605450979534,2377.5,,
5971,3954,3,tpe,restricted,1,0.0401561000041738,2000.0,,
5971,3954,4,tpe,full,1,0.029842647856755278,2377.5,,
5971,3954,4,tpe,restricted,1,0.001974205935138973,2000.0,,
5971,43,0,tpe,restricted,1,0.009298982246360388,2000.0,,
5971,43,1,tpe,full,1,0.003100611564967548,3358.5,,
5971,43,1,tpe,restricted,1,0.003100611564967548,2000.0,,
5971,43,0,tpe,full,1,0.009298982246360388,3358.5,,
5971,43,2,tpe,full,1,0.0018597964492720331,3358.5,,
5971,43,2,tpe,restricted,1,0.02789694673908083,2000.0,,
5971,43,3,tpe,full,1,0.013637556478481194,3358.5,,
5971,43,3,tpe,restricted,1,0.013018575144904454,2000.0,,
5971,43,4,tpe,full,1,0.02169857605768799,3358.5,,
5971,43,4,tpe,restricted,1,0.006820204463511614,2000.0,,
5971,34536,0,tpe,restricted,1,0.006552034902805759,2000.0,,
5971,34536,1,tpe,full,1,0.005095761887425443,3472.5,,
5971,34536,1,tpe,restricted,1,0.0058238983951156564,2000.0,,
5971,34536,2,tpe,full,1,0.0007281365076902135,3472.5,,
5971,34536,2,tpe,restricted,1,0.005095761887425443,2000.0,,
5971,34536,3,tpe,full,1,0.0018203412692254783,3472.5,,
5971,34536,3,tpe,restricted,1,0.004004750792296119,2000.0,,
5971,34536,0,tpe,full,1,0.0072801714104959725,3472.5,,
5971,34536,4,tpe,full,1,0.006187966648960708,3472.5,,
5971,34536,4,tpe,restricted,1,0.006552034902805759,2000.0,,
5971,9970,0,tpe,full,1,0.1545177966311312,3851.5,,
5971,9970,1,tpe,full,1,0.06122196584488526,3851.5,,
5971,9970,1,tpe,restricted,1,0.06413712928838222,2000.0,,
5971,9970,0,tpe,restricted,1,0.008745490330491212,2000.0,,
5971,9970,2,tpe,full,1,0.034985494853411625,3851.5,,
5971,9970,2,tpe,restricted,1,0.06705582626332596,2000.0,,
5971,9970,3,tpe,full,1,0.029155167966417372,3851.5,,
5971,9970,3,tpe,restricted,1,0.03207033140991433,2000.0,,
5971,9970,4,tpe,full,1,0.13994197941364572,3851.5,,
5971,9970,4,tpe,restricted,1,0.040815821740405545,2000.0,,
5971,6566,0,tpe,full,1,0.0061857146266377505,4239.5,,
5971,6566,1,tpe,full,1,0.0010918072691692426,4239.5,,
5971,6566,1,tpe,restricted,1,0.0010918072691692426,2000.0,,
5971,6566,0,tpe,restricted,1,0.012736558241653428,2000.0,,
5971,6566,2,tpe,full,1,0.0061857146266377505,4239.5,,
5971,6566,2,tpe,restricted,1,0.0036393575638975495,2000.0,,
5971,6566,3,tpe,full,1,0.004003293320287371,4239.5,,
5971,6566,3,tpe,restricted,1,0.005457843113858329,2000.0,,
5971,6566,4,tpe,full,1,0.00582177887024804,4239.5,,
5971,6566,4,tpe,restricted,1,0.004003293320287371,2000.0,,
5965,145836,0,tpe,full,1,0.030294100980337024,11213.5,,
5965,145836,0,tpe,restricted,1,0.10605768685895589,2000.0,,
5965,145836,0,gp,restricted,1,0.0909049696832328,2000.0,,
5965,145836,0,gp,full,1,0.07575225250750861,11213.5,0.09414072800702147,
5965,145836,1,tpe,full,1,0.060599535331784304,11213.5,,
5965,145836,1,tpe,restricted,1,0.10605768685895589,2000.0,,
5965,145836,1,gp,restricted,1,0.1363631212104044,2000.0,,
5965,145836,1,gp,full,1,0.1212104040346802,11213.5,0.037307279216229255,
5965,145836,2,tpe,full,1,0.0909049696832328,11213.5,,
5965,145836,2,tpe,restricted,1,0.0909049696832328,2000.0,,
5965,145836,2,gp,restricted,1,0.030294100980337024,2000.0,,
5965,145836,3,tpe,full,1,0.10605768685895589,11213.5,,
5965,145836,2,gp,full,1,0.030294100980337024,11213.5,0.007819925572664522,
5965,145836,3,tpe,restricted,1,0.10605768685895589,2000.0,,
5965,145836,3,gp,restricted,1,0.060599535331784304,2000.0,,
5965,145836,3,gp,full,1,0.060599535331784304,11213.5,0.053755437424974725,
5965,145836,4,tpe,full,1,0.060599535331784304,11213.5,,
5965,145836,4,tpe,restricted,1,0.07575225250750861,2000.0,,
5965,145836,4,gp,restricted,1,0.060599535331784304,2000.0,,
5965,145836,4,gp,full,1,0.10605768685895589,11213.5,0.04161632748915765,
5965,9914,0,tpe,full,1,0.051532762964256684,11305.5,,
5965,9914,0,tpe,restricted,1,0.025766381482126954,2000.0,,
5965,9914,0,gp,restricted,1,0.0360679454241587,2000.0,,
5965,9914,0,gp,full,1,0.0360679454241587,11305.5,-0.012850955088591066,
5965,9914,1,tpe,full,1,0.0360679454241587,11305.5,,
5965,9914,1,tpe,restricted,1,0.0360679454241587,2000.0,,
5965,9914,1,gp,restricted,1,0.0206031278840636,2000.0,,
5965,9914,1,gp,full,1,0.0360679454241587,11305.5,-0.020388412363805387,
5965,9914,2,tpe,full,1,0.0360679454241587,11305.5,,
5965,9914,2,tpe,restricted,1,0.025766381482126954,2000.0,,
5965,9914,2,gp,restricted,1,0.04123119902222483,2000.0,,
5965,9914,2,gp,full,1,0.04123119902222483,11305.5,-0.11557635190522539,
5965,9914,3,tpe,full,1,0.030929635080193085,11305.5,,
5965,9914,3,tpe,restricted,1,0.0360679454241587,2000.0,,
5965,9914,3,gp,restricted,1,0.0360679454241587,2000.0,,
5965,9914,3,gp,full,1,0.030929635080193085,11305.5,-0.12091331695375951,
5965,9914,4,tpe,full,1,0.04123119902222483,11305.5,,
5965,9914,4,tpe,restricted,1,0.025766381482126954,2000.0,,
5965,9914,4,gp,restricted,1,0.0360679454241587,2000.0,,
5965,9914,4,gp,full,1,0.030929635080193085,11305.5,0.09038193235583751,
5965,3903,0,tpe,full,1,0.08080329654715201,11521.5,,
5965,3903,0,tpe,restricted,1,0.07069893746348976,2000.0,,
5965,3903,0,gp,full,1,0.04040164827357695,11521.5,0.028937168584253638,
5965,3903,0,gp,restricted,1,0.04040164827357695,2000.0,,
5965,3903,1,tpe,full,1,0.03029728918991459,11521.5,,
5965,3903,1,tpe,restricted,1,0.10099622665340446,2000.0,,
5965,3903,1,gp,restricted,1,0.020192930106254114,2000.0,,
5965,3903,1,gp,full,1,0.020192930106254114,11521.5,0.008960661902208743,
5965,3903,2,tpe,full,1,0.10099622665340446,11521.5,,
5965,3903,2,tpe,restricted,1,0.0909076556308126,2000.0,,
5965,3903,2,gp,restricted,1,0.11110058573706671,2000.0,,
5965,3903,2,gp,full,1,0.0909076556308126,11521.5,0.008484420070952537,
5965,3903,3,tpe,full,1,0.06059457837982929,11521.5,,
5965,3903,3,tpe,restricted,1,0.0909076556308126,2000.0,,
5965,3903,3,gp,restricted,1,0.03029728918991459,2000.0,,
5965,3903,3,gp,full,1,0.0,11521.5,0.02342831183862698,
5965,3903,4,tpe,full,1,0.06059457837982929,11521.5,,
5965,3903,4,tpe,restricted,1,0.06059457837982929,2000.0,,
5965,3903,4,gp,restricted,1,0.050490219296168704,2000.0,,
5965,3903,4,gp,full,1,0.03029728918991459,11521.5,0.03420019909265235,
5965,10101,0,tpe,full,1,0.12857036000128275,11633.5,,
5965,10101,0,tpe,restricted,1,0.11428357714542181,2000.0,,
5965,10101,0,gp,full,1,0.11428357714542181,11633.5,-0.0030800322904660947,
5965,10101,0,gp,restricted,1,0.18571749142472527,2000.0,,
5965,10101,1,tpe,full,1,0.12857036000128275,11633.5,,
5965,10101,1,tpe,restricted,1,0.11428357714542181,2000.0,,
5965,10101,1,gp,restricted,1,0.08571001143370116,2000.0,,
5965,10101,1,gp,full,1,0.09999679428956088,11633.5,0.008553541303662815,
5965,10101,2,tpe,full,1,0.08571001143370116,11633.5,,
5965,10101,2,tpe,restricted,1,0.08571001143370116,2000.0,,
5965,10101,2,gp,restricted,1,0.08571001143370116,2000.0,,
5965,10101,2,gp,full,1,0.08571001143370116,11633.5,0.08840672294335239,
5965,10101,3,tpe,full,1,0.09999679428956088,11633.5,,
5965,10101,3,tpe,restricted,1,0.12857036000128275,2000.0,,
5965,10101,3,gp,restricted,1,0.11428357714542181,2000.0,,
5965,10101,3,gp,full,1,0.09999679428956088,11633.5,4.6554586569824696e-05,
5965,10101,4,tpe,full,1,0.1571439257130034,11633.5,,
5965,10101,4,tpe,restricted,1,0.14285714285714257,2000.0,,
5965,10101,4,gp,full,1,0.12857036000128275,11633.5,0.07547577568200452,
5965,10101,4,gp,restricted,1,0.08571001143370116,2000.0,,
5965,9889,0,tpe,full,1,0.015545080734127859,12304.5,,
5965,9889,0,tpe,restricted,1,0.03109016146825838,2000.0,,
5965,9889,0,gp,restricted,1,0.0,2000.0,,
5965,9889,0,gp,full,1,0.02073513188245968,12304.5,-0.006725166945525302,
5965,9889,1,tpe,restricted,1,0.02073513188245968,2000.0,,
5965,9889,1,tpe,full,1,0.036280212616587426,12304.5,,
5965,9889,1,gp,restricted,1,0.036280212616587426,2000.0,,
5965,9889,1,gp,full,1,0.02590011031992656,12304.5,-0.017750572833537877,
5965,9889,2,tpe,full,1,0.010355029585798703,12304.5,,
5965,9889,2,tpe,restricted,1,0.03109016146825838,2000.0,,
5965,9889,2,gp,restricted,1,0.02073513188245968,2000.0,,
5965,9889,2,gp,full,1,0.02073513188245968,12304.5,0.005507110650866842,
5965,9889,3,tpe,full,1,0.03109016146825838,12304.5,,
5965,9889,3,tpe,restricted,1,0.051825293350715285,2000.0,,
5965,9889,3,gp,full,1,0.005190051148329045,12304.5,-0.038819530048368404,
5965,9889,3,gp,restricted,1,0.015545080734127859,2000.0,,
5965,9889,4,tpe,full,1,0.02590011031992656,12304.5,,
5965,9889,4,tpe,restricted,1,0.02590011031992656,2000.0,,
5965,9889,4,gp,restricted,1,0.03109016146825838,2000.0,,
5965,9889,4,gp,full,1,0.02073513188245968,12304.5,-0.057377722302776414,
5965,49,0,tpe,full,1,0.00305856985492281,12391.5,,
5965,49,0,tpe,restricted,1,0.018348489464926065,2000.0,,
5965,49,0,gp,restricted,1,0.09480101717955336,2000.0,,
5965,49,0,gp,full,1,0.09174244732463022,12391.5,-0.010700161200403225,
5965,49,1,tpe,full,1,0.0061171397098459535,12391.5,,
5965,49,1,tpe,restricted,1,0.00305856985492281,2000.0,,
5965,49,1,gp,restricted,1,0.0061171397098459535,2000.0,,
5965,49,1,gp,full,1,0.00305856985492281,12391.5,-0.054581214086064554,
5965,49,2,tpe,full,1,0.0,12391.5,,
5965,49,2,tpe,restricted,1,0.009175709564769097,2000.0,,
5965,49,2,gp,restricted,1,0.0061171397098459535,2000.0,,
5965,49,2,gp,full,1,0.0061171397098459535,12391.5,-0.05623404046008801,
5965,49,3,tpe,full,1,0.0061171397098459535,12391.5,,
5965,49,3,tpe,restricted,1,0.0061171397098459535,2000.0,,
5965,49,3,gp,restricted,1,0.0764525277146273,2000.0,,
5965,49,3,gp,full,1,0.10091815688939931,12391.5,0.024921513029122693,
5965,49,4,tpe,full,1,0.0061171397098459535,12391.5,,
5965,49,4,tpe,restricted,1,0.0,2000.0,,
5965,49,4,gp,restricted,1,0.0030582456957903847,2000.0,,
5965,49,4,gp,full,1,0.0,12391.5,0.048180540596621184,
5965,9946,0,tpe,full,1,0.020513180854724866,13125.5,,
5965,9946,0,tpe,restricted,1,0.020513180854724866,2000.0,,
5965,9946,0,gp,restricted,1,0.010256590427362267,2000.0,,
5965,9946,0,gp,full,1,0.010256590427362267,13125.5,0.0263479608991094,
5965,9946,1,tpe,full,1,0.010256590427362267,13125.5,,
5965,9946,1,tpe,restricted,1,0.020513180854724866,2000.0,,
5965,9946,1,gp,restricted,1,0.015383426666587208,2000.0,,
5965,9946,1,gp,full,1,0.010256590427362267,13125.5,-0.0005218364784961349,
5965,9946,2,tpe,full,1,0.020513180854724866,13125.5,,
5965,9946,2,tpe,restricted,1,0.020513180854724866,2000.0,,
5965,9946,2,gp,full,1,0.010256590427362267,13125.5,-0.03286013087749534,
