space,task,is_validation,pool_size,rf_smbo_mean,adaptive_k_mean,delta_abs,delta_pct,outcome,n_seeds
4796,23,False,300.0,0.009435146286289992,0.009435146286289992,0.0,0.0,tie,20
4796,31,True,300.0,0.07887323943661984,0.07887323943661984,0.0,0.0,tie,20
4796,3549,False,300.0,0.001739054124220235,0.001739054124220235,0.0,0.0,tie,20
4796,3918,False,300.0,0.14656405353728794,0.14656405353728794,0.0,0.0,tie,20
4796,49,True,300.0,0.025895787850567197,0.025895787850567197,0.0,0.0,tie,20
4796,9903,False,300.0,0.051408450704225395,0.051408450704225395,0.0,0.0,tie,20
4796,9906,True,300.0,0.01993025387589173,0.01993025387589173,0.0,0.0,tie,20
4796,9946,True,300.0,0.024237016345954977,0.024237016345954977,0.0,0.0,tie,20
5527,10101,False,44790.0,0.15555832591273427,0.15635143959631984,0.0007931136835855612,0.5098497164532905,tie,20
5527,125923,True,44790.0,0.02887842323157812,0.02866294701277679,-0.0002154762188013304,-0.7461495285715959,tie,20
5527,145804,False,44790.0,0.0003012508836981231,0.002409574237855461,0.0021083233541573376,699.8563218390562,loss,20
5527,145872,True,44790.0,0.00020581500612386615,0.0,-0.00020581500612386615,-100.0,tie,20
5527,146064,False,44790.0,0.015555567567901501,0.029861138996914192,0.014305571429012691,91.96431674104811,loss,20
5527,146065,False,44790.0,0.32274575728466215,0.2913933840734993,-0.031352373211162854,-9.714263473186426,win,20
5527,31,False,44790.0,0.1595890410958904,0.14109589041095894,-0.01849315068493146,-11.587982832617996,win,20
5527,3493,True,44790.0,0.26722003601015465,0.4626557987820389,0.19543576277188424,73.13664262976803,loss,20
5527,3913,True,44790.0,0.07194693420248484,0.07926321552250919,0.007316281320024348,10.168996637763149,loss,20
5527,9914,False,44790.0,0.00951772714293161,0.00644023249316053,-0.003077494649771079,-32.3343441512357,win,20
5527,9946,True,44790.0,0.00872584095355936,0.0068388788538392975,-0.0018869620997200628,-21.624988465442424,win,20
5527,9971,True,44790.0,0.17592416652271553,0.16851679910174472,-0.007407367420970812,-4.210545695559322,win,20
5636,10093,True,43841.0,0.09957282967270957,0.15400947758555703,0.054436647912847455,54.67018271126544,loss,20
5636,10101,False,43841.0,0.12092335525171216,0.2930191698848404,0.17209581463312823,142.3180941968541,loss,20
5636,125923,True,43841.0,0.03651406473146209,0.03651406473146209,0.0,0.0,tie,20
5636,145804,False,43841.0,0.3037222748782964,0.21099204043986494,-0.09273023443843145,-30.531259017992376,win,20
5636,146064,False,43841.0,0.17199982207988612,0.2479997331198291,0.07599991103994297,44.18604049755613,loss,20
5636,146065,False,43841.0,0.6974169746903306,0.6065720493214075,-0.09084492536892308,-13.025912569630291,win,20
5636,31,False,43841.0,0.6948275862068966,0.3431034482758621,-0.35172413793103446,-50.620347394540936,win,20
5636,3903,True,43841.0,0.0,0.0,0.0,0.0,tie,20
5636,3913,True,43841.0,0.04374989804740382,0.04374989804740382,0.0,0.0,tie,20
5636,3917,True,43841.0,0.13678003490739887,0.1936803064093875,0.05690027150198862,41.59983695026145,loss,20
5636,43,True,43841.0,0.08839823326518197,0.09569085262122896,0.007292619356046998,8.249734283908357,loss,20
5636,9914,False,43841.0,0.2549962363567945,0.2411083929243519,-0.01388784343244262,-5.446293494704975,win,20
5859,125923,False,2878.0,0.03177436173496219,0.032709011049296466,0.0009346493143342766,2.941520343132044,tie,20
5859,31,False,2878.0,0.13000000000000003,0.2790909090909091,0.14909090909090908,114.68531468531465,loss,20
5859,34537,True,2878.0,0.07569312889214516,0.07569312889214516,0.0,0.0,tie,20
5859,37,False,2878.0,0.07977693402942575,0.083147085472667,0.003370151443241251,4.224468493610158,loss,20
5859,3889,True,2878.0,0.07653116063031395,0.06139709410567915,-0.015134066524634802,-19.77503855944425,win,20
5859,3896,True,2878.0,0.1776669553096217,0.1776669553096217,0.0,0.0,tie,20
5859,3902,False,2878.0,0.8083289457697138,0.46665181645133885,-0.34167712931837496,-42.26956502133179,win,20
5859,9910,True,2878.0,0.08180860919670105,0.08180860919670105,0.0,0.0,tie,20
5859,9914,True,2878.0,0.18107195582043817,0.18107195582043817,0.0,0.0,tie,20
5859,9952,True,2878.0,0.06946139688075174,0.06946139688075174,0.0,0.0,tie,20
5859,9957,True,2878.0,0.01142098922210295,0.04259451011038393,0.031173520888280983,272.94939415537766,loss,20
5859,9977,False,2878.0,0.07318978132708961,0.02410001254337934,-0.049089768783710276,-67.07188885334291,win,20
5859,9983,False,2878.0,0.1879780167671933,0.1361417596040979,-0.051836257163095395,-27.575701698828688,win,20
5889,3918,False,,0.019992606284657093,0.019992606284657093,0.0,0.0,tie,20
5889,3950,True,,0.0008761459524875892,0.0008761459524875892,0.0,0.0,tie,20
5889,49,True,,0.00036501964952521113,0.00036501964952521113,0.0,0.0,tie,20
5889,9971,False,,0.05581444221487062,0.05581444221487062,0.0,0.0,tie,20
5891,10101,True,29104.0,0.24399646939141895,0.24399646939141895,0.0,0.0,tie,20
5891,3492,False,29104.0,0.0,0.006686951922085693,0.006686951922085693,0.0,loss,20
5891,3494,True,29104.0,0.0029764286373808956,0.0029764286373808956,0.0,0.0,tie,20
5891,37,True,29104.0,0.043301613260830346,0.043301613260830346,0.0,0.0,tie,20
5891,3889,True,29104.0,0.024263968323802565,0.024263968323802565,0.0,0.0,tie,20
5891,3891,False,29104.0,0.01460464026002264,0.013522868620245692,-0.0010817716397769472,-7.407040642679071,win,20
5891,3899,False,29104.0,0.052378639136238435,0.07175371305949348,0.01937507392325504,36.990411058332164,loss,20
5891,3950,True,29104.0,0.0007967482520543356,0.0007967482520543356,0.0,0.0,tie,20
5891,6566,False,29104.0,0.01594720697638873,0.0243697627134578,0.00842255573706907,52.81524062200623,loss,20
5891,9889,False,29104.0,0.010029159021462791,0.010523170942464983,0.000494011921002192,4.925756186984245,tie,20
5891,9952,True,29104.0,0.12242281041445321,0.12242281041445321,0.0,0.0,tie,20
5891,9980,False,29104.0,0.0818221982229623,0.09091355358106923,0.009091355358106928,11.111111111111118,loss,20
5906,3889,True,254.0,0.009955922479535962,0.009955922479535962,0.0,0.0,tie,20
5906,3918,False,254.0,0.12424639580602834,0.12424639580602834,0.0,0.0,tie,20
5906,9970,True,254.0,0.0035170235950808815,0.0035170235950808815,0.0,0.0,tie,20
5906,9971,False,254.0,0.04558291465903025,0.04558291465903025,0.0,0.0,tie,20
5906,9977,True,254.0,0.005029987943387682,0.005029987943387682,0.0,0.0,tie,20
5965,10101,False,5561.0,0.09285447143177723,0.10928320314587063,0.016428731714093397,17.692989320567126,loss,20
5965,145836,False,5561.0,0.05529608432028129,0.06287244290814338,0.007576358587862091,13.701437779895858,loss,20
5965,145862,True,5561.0,0.03244244385051793,0.036887513480564384,0.004445069630046455,13.701401936696245,loss,20
5965,3492,True,5561.0,0.0,0.0,0.0,0.0,tie,20
5965,37,True,5561.0,0.07740038104802979,0.08461223193714186,0.0072118508891120675,9.317590936195584,loss,20
5965,3903,False,5561.0,0.07120336601461999,0.06009488624702055,-0.01110847976759944,-15.601059878712148,win,20
5965,49,False,5561.0,0.005352057796423365,0.004434926289638275,-0.0009171315067850903,-17.13605386320724,tie,20
5965,9889,False,5561.0,0.02694689599839496,0.030829405275298132,0.0038825092769031733,14.408001860898663,loss,20
5965,9914,False,5561.0,0.03736374747449478,0.03787757850889177,0.0005138310343969915,1.3752127908147933,tie,20
5965,9946,False,5561.0,0.0197434259316129,0.02076893907690352,0.0010255131452906185,5.19420058526206,loss,20
5965,9967,True,5561.0,0.0,0.0,0.0,0.0,tie,20
5965,9971,True,5561.0,0.13773718773718743,0.17170137170137129,0.03396418396418385,24.65868842116189,loss,20
5965,9978,True,5561.0,0.03585543155523608,0.032820978806183426,-0.0030344527490526532,-8.46302113078185,win,20
5965,9980,True,5561.0,0.05416626041565118,0.05277763194408005,-0.0013886284715711322,-2.563641021025502,win,20
5971,10093,False,2265.0,0.006176384829765286,0.006176384829765286,0.0,0.0,tie,20
5971,145804,True,2265.0,0.013737805018019921,0.013737805018019921,0.0,0.0,tie,20
5971,14951,True,2265.0,0.0228890529813549,0.0228890529813549,0.0,0.0,tie,20
5971,34536,False,2265.0,0.004295468245489487,0.004586782531885841,0.00029131428639635453,6.781898264578093,tie,20
5971,3954,False,2265.0,0.018191285112066358,0.018191285112066358,0.0,0.0,tie,20
5971,43,False,2265.0,0.01940435169549548,0.01723435146729959,-0.002170000228195891,-11.18305966748497,win,20
5971,6566,False,2265.0,0.005512970431711372,0.005858649738682248,0.0003456793069708756,6.270291329379896,tie,20
5971,9952,True,2265.0,0.030769080292256203,0.030769080292256203,0.0,0.0,tie,20
5971,9967,True,2265.0,0.002971205094483331,0.002971205094483331,0.0,0.0,tie,20
5971,9970,False,2265.0,0.020407380840485802,0.01822083158129073,-0.002186549259195071,-10.714502151384458,win,20
5971,9977,True,2265.0,0.009784124163079055,0.009784124163079055,0.0,0.0,tie,20
5971,9983,True,2265.0,0.028379621295997148,0.028379621295997148,0.0,0.0,tie,20
6766,10101,False,32049.0,0.08182374541003609,0.06818645450836372,-0.013637290901672372,-16.666666666666288,win,20
6766,125923,True,32049.0,0.021039682787473785,0.018777358019294914,-0.002262324768178871,-10.752656259274838,win,20
6766,145804,False,32049.0,0.0,0.0,0.0,0.0,tie,20
6766,145857,True,32049.0,0.01274397609511142,0.007253056986034273,-0.005490919109077146,-43.08638895817969,win,20
6766,145953,False,32049.0,0.012883430790519134,0.012010556621881035,-0.0008728741686380992,-6.775168686282258,tie,20
6766,146064,False,32049.0,0.007140644484864733,0.007140644484864733,0.0,0.0,tie,20
6766,146065,True,32049.0,0.0,0.0,0.0,0.0,tie,20
6766,31,False,32049.0,0.053846153846153835,0.047692307692307666,-0.0061538461538461695,-11.42857142857146,win,20
6766,3903,False,32049.0,0.2607067098358799,0.2535614603103694,-0.007145249525510489,-2.7407232940067274,win,20
6766,9914,True,32049.0,0.009576050407164177,0.006377904447037669,-0.0031981459601265073,-33.39733840304206,win,20
6766,9980,True,32049.0,0.0,0.0,0.0,0.0,tie,20
6766,9983,True,32049.0,0.03239356206840339,0.03311674188461824,0.0007231798162148501,2.232480067143459,tie,20
6767,10101,True,47619.0,0.18376351502316804,0.19869925491300786,0.014935739889839816,8.127696016239561,loss,20
6767,125923,True,47619.0,0.036111520655795704,0.039957685843187006,0.0038461651873913025,10.650798187237275,loss,20
6767,145804,False,47619.0,0.01599951563532242,0.014559603679332178,-0.0014399119559902404,-8.999722171659503,win,20
6767,145857,True,47619.0,0.054490402682967655,0.05862807126037648,0.004137668577408826,7.593389612997223,loss,20
6767,145862,True,47619.0,0.05508094778599757,0.05406475822879801,-0.001016189557199558,-1.8449020905516973,win,20
6767,146064,False,47619.0,0.11024477623106495,0.04159028036366171,-0.06865449586740324,-62.274602221068925,win,20
6767,146065,False,47619.0,0.17023345439068707,0.11750943007943948,-0.05272402431124759,-30.97159985383693,win,20
6767,31,False,47619.0,0.1254166666666668,0.12125000000000008,-0.004166666666666707,-3.322259136212654,win,20
6767,3492,True,47619.0,0.09429423914005353,0.04939941995688916,-0.04489481918316437,-47.61141252381591,win,20
6767,3493,True,47619.0,0.10273454832295274,0.19531243764041906,0.09257788931746631,90.11368700083412,loss,20
6767,3917,True,47619.0,0.0756274220335855,0.07437653230696203,-0.0012508897266234609,-1.6540160870060483,win,20
6767,9914,False,47619.0,0.08013197499421201,0.05573165084510395,-0.02440032414910806,-30.45017192059788,win,20
6767,9967,False,47619.0,0.0014960216124287995,0.0023802984648944093,0.0008842768524656098,59.10856134156922,tie,20
6794,10101,False,52126.0,0.09701301746081402,0.08731188317777913,-0.009701134283034887,-9.999827380849604,win,20
6794,145804,False,52126.0,0.007025340842513017,0.007162971017170045,0.00013763017465702725,1.959053343350611,tie,20
6794,145855,True,52126.0,0.044455784707070074,0.043993571244222984,-0.00046221346284709003,-1.0397150019794419,tie,20
6794,145862,True,52126.0,0.031057183755797767,0.0284138757982208,-0.0026433079575769666,-8.511099970819194,win,20
6794,146064,True,52126.0,0.0008733316985172601,0.0,-0.0008733316985172601,-100.0,tie,20
6794,146065,False,52126.0,0.015385223683762323,0.014575577519210093,-0.0008096461645522302,-5.262491993579116,tie,20
6794,31,False,52126.0,0.07375000000000007,0.07187500000000002,-0.0018750000000000433,-2.5423728813559885,win,20
6794,3917,True,52126.0,0.04621325614882263,0.04724812008203278,0.001034863933210152,2.239322695370205,loss,20
6794,3,False,52126.0,0.0025769187469508238,0.0021200345243107656,-0.00045688422264005815,-17.729865296710383,tie,20
6794,49,True,52126.0,0.0031820081981491057,0.002424608381620441,-0.0007573998165286647,-23.802572757959112,tie,20
6794,9914,False,52126.0,0.02817404090362388,0.027624649111082568,-0.0005493917925413136,-1.949992883238301,tie,20
6794,9957,True,52126.0,0.07642424606305995,0.07520456650770263,-0.001219679555357317,-1.5959327284052272,win,20
7607,145804,True,647.0,0.0023009650535420977,0.0023009650535420977,0.0,0.0,tie,20
7607,145834,True,647.0,0.003560160187900685,0.003560160187900685,0.0,0.0,tie,20
7607,145847,True,647.0,0.053571565986917855,0.053571565986917855,0.0,0.0,tie,20
7607,145878,True,647.0,0.010825666008699119,0.010825666008699119,0.0,0.0,tie,20
7607,145976,False,647.0,0.038998371835832,0.038998371835832,0.0,0.0,tie,20
7607,146065,True,647.0,0.0007042710540646535,0.0007042710540646535,0.0,0.0,tie,20
7607,14965,False,647.0,0.018653991188029607,0.018653991188029607,0.0,0.0,tie,20
7607,31,True,647.0,0.0670886075949367,0.0670886075949367,0.0,0.0,tie,20
7607,3896,False,647.0,0.01789264413518858,0.01789264413518858,0.0,0.0,tie,20
7607,3903,False,647.0,0.07029746495384284,0.07029746495384284,0.0,0.0,tie,20
7607,3913,False,647.0,0.0916592716326485,0.0916592716326485,0.0,0.0,tie,20
7607,9946,False,647.0,0.009536763562878798,0.009536763562878798,0.0,0.0,tie,20
7607,9967,False,647.0,0.0,0.0,0.0,0.0,tie,20
7607,9971,True,647.0,0.15135035058693722,0.15135035058693722,0.0,0.0,tie,20
7609,125923,False,1269.0,0.01108542258578148,0.01108542258578148,0.0,0.0,tie,20
7609,145836,True,1269.0,0.08660273021131062,0.08660273021131062,0.0,0.0,tie,20
7609,145839,True,1269.0,0.061700196468168156,0.061700196468168156,0.0,0.0,tie,20
7609,145853,False,1269.0,0.026555483333288443,0.026555483333288443,0.0,0.0,tie,20
7609,145854,False,1269.0,0.004881304595592456,0.004881304595592456,0.0,0.0,tie,20
7609,145872,True,1269.0,0.0,0.0,0.0,0.0,tie,20
7609,145878,False,1269.0,0.015897153828646017,0.015897153828646017,0.0,0.0,tie,20
7609,34537,False,1269.0,0.004579779907566977,0.004579779907566977,0.0,0.0,tie,20
7609,3889,True,1269.0,0.004757705326921058,0.004757705326921058,0.0,0.0,tie,20
7609,3903,False,1269.0,0.03536901494357993,0.03536901494357993,0.0,0.0,tie,20
7609,9914,True,1269.0,0.015700134275798118,0.015700134275798118,0.0,0.0,tie,20
7609,9967,False,1269.0,0.0,0.0,0.0,0.0,tie,20
7609,9971,True,1269.0,0.22023986341111285,0.22023986341111285,0.0,0.0,tie,20
7609,9980,True,1269.0,0.06295849999999958,0.06295849999999958,0.0,0.0,tie,20
