method,mean_regret
epsilon_rf_50,0.003891
epsilon_rf_50,0.003891
epsilon_rf_50,0.003891
epsilon_rf_50,0.801556
epsilon_rf_50,0.217899
epsilon_rf_50,0.023999
epsilon_rf_50,0.015999
epsilon_rf_50,0.008000
epsilon_rf_50,0.008000
epsilon_rf_50,0.011200
epsilon_rf_50,0.000000
epsilon_rf_50,0.000000
epsilon_rf_50,0.000000
epsilon_rf_50,0.000000
epsilon_rf_50,0.000000
epsilon_rf_50,0.057398
epsilon_rf_50,0.038273
epsilon_rf_50,0.090901
epsilon_rf_50,0.095693
epsilon_rf_50,0.033480
epsilon_rf_50,0.002720
epsilon_rf_50,0.000000
epsilon_rf_50,0.002720
epsilon_rf_50,0.001360
epsilon_rf_50,0.002720
epsilon_rf_50,0.050000
epsilon_rf_50,0.133333
epsilon_rf_50,0.066667
epsilon_rf_50,0.091667
epsilon_rf_50,0.100000
rf_candidate_2k,0.000000
rf_candidate_2k,0.003891
rf_candidate_2k,0.000000
rf_candidate_2k,0.023345
rf_candidate_2k,0.000000
rf_candidate_2k,0.011200
rf_candidate_2k,0.014399
rf_candidate_2k,0.012800
rf_candidate_2k,0.011200
rf_candidate_2k,0.023999
rf_candidate_2k,0.229358
rf_candidate_2k,0.000000
rf_candidate_2k,0.000000
rf_candidate_2k,0.000000
rf_candidate_2k,0.000000
rf_candidate_2k,0.023918
rf_candidate_2k,0.023918
rf_candidate_2k,0.028687
rf_candidate_2k,0.038273
rf_candidate_2k,0.028687
rf_candidate_2k,0.002720
rf_candidate_2k,0.000000
rf_candidate_2k,0.001360
rf_candidate_2k,0.002720
rf_candidate_2k,0.000000
rf_candidate_2k,0.125000
rf_candidate_2k,0.141667
rf_candidate_2k,0.108333
rf_candidate_2k,0.133333
rf_candidate_2k,0.075000
