ss,task,seed,step,K,over_pred,sigma_t
6767,146065,0,11,50,0.1585601648422317,0.11520384944460024
6767,146065,0,11,100,0.21388602582660807,0.11520384944460024
6767,146065,0,11,250,0.2566262312304589,0.11520384944460024
6767,146065,0,11,500,0.37372349726744036,0.11520384944460024
6767,146065,0,11,1000,0.38022885627693703,0.11520384944460024
6767,146065,0,11,2000,0.3821135932870465,0.11520384944460024
6767,146065,0,11,5000,0.25419482877361044,0.11520384944460024
6767,146065,0,12,50,0.20841410969059063,0.11833782040462862
6767,146065,0,12,100,0.21461564387623636,0.11833782040462862
6767,146065,0,12,250,0.24720305773102833,0.11833782040462862
6767,146065,0,12,500,0.38740299529256095,0.11833782040462862
6767,146065,0,12,1000,0.24106250774634572,0.11833782040462862
6767,146065,0,12,2000,0.28884949376901525,0.11833782040462862
6767,146065,0,12,5000,0.38740299529256095,0.11833782040462862
6767,146065,0,13,50,0.18190648085571107,0.09819620298184363
6767,146065,0,13,100,0.20318569188603938,0.09819620298184363
6767,146065,0,13,250,0.24787147234350054,0.09819620298184363
6767,146065,0,13,500,0.20458394378433245,0.09819620298184363
6767,146065,0,13,1000,0.28058100075768055,0.09819620298184363
6767,146065,0,13,2000,0.31791012806901453,0.09819620298184363
6767,146065,0,13,5000,0.4002312722597816,0.09819620298184363
6767,146065,0,14,50,0.30325904831614936,0.12510116424244497
6767,146065,0,14,100,0.3156017901950563,0.12510116424244497
6767,146065,0,14,250,0.20373279580516404,0.12510116424244497
6767,146065,0,14,500,0.21212318413969403,0.12510116424244497
6767,146065,0,14,1000,-0.5288781932482265,0.12510116424244497
6767,146065,0,14,2000,0.25790361090778996,0.12510116424244497
6767,146065,0,14,5000,0.34381083804350154,0.12510116424244497
6767,146065,0,15,50,0.2563848521821896,0.13036838847368332
6767,146065,0,15,100,0.11034767790870872,0.13036838847368332
6767,146065,0,15,250,-0.629375735172033,0.13036838847368332
6767,146065,0,15,500,0.2665380822036337,0.13036838847368332
6767,146065,0,15,1000,0.27291979200039307,0.13036838847368332
6767,146065,0,15,2000,0.30447500532013194,0.13036838847368332
6767,146065,0,15,5000,0.3156017171163252,0.13036838847368332
6767,146065,0,16,50,0.28842530827531854,0.14306963977271295
6767,146065,0,16,100,0.19972022538649872,0.14306963977271295
6767,146065,0,16,250,0.20476645791483575,0.14306963977271295
6767,146065,0,16,500,0.21856660892472515,0.14306963977271295
6767,146065,0,16,1000,-0.2656237942009394,0.14306963977271295
6767,146065,0,16,2000,0.3511673450321665,0.14306963977271295
6767,146065,0,16,5000,0.2701846377984244,0.14306963977271295
6767,146065,0,17,50,0.2983955126151431,0.11669847226313414
6767,146065,0,17,100,0.24337417070256134,0.11669847226313414
6767,146065,0,17,250,0.21461560733687066,0.11669847226313414
6767,146065,0,17,500,-0.04201055081485694,0.11669847226313414
6767,146065,0,17,1000,0.17126687534054677,0.11669847226313414
6767,146065,0,17,2000,0.17424640481875303,0.11669847226313414
6767,146065,0,17,5000,-0.48413150166853347,0.11669847226313414
6767,146065,0,18,50,-0.05769766773614937,0.10022235984661076
6767,146065,0,18,100,0.2269579472827575,0.10022235984661076
6767,146065,0,18,250,-0.5588507770315303,0.10022235984661076
6767,146065,0,18,500,0.17941376534361034,0.10022235984661076
6767,146065,0,18,1000,0.20160492585724274,0.10022235984661076
6767,146065,0,18,2000,0.18889784996527287,0.10022235984661076
6767,146065,0,18,5000,-0.3205252504554267,0.10022235984661076
6767,146065,0,19,50,0.32958398032369796,0.12779613130504527
6767,146065,0,19,100,-0.1659165622128005,0.12779613130504527
6767,146065,0,19,250,0.3393724013203282,0.12779613130504527
6767,146065,0,19,500,0.3209507148269146,0.12779613130504527
6767,146065,0,19,1000,0.327456914241817,0.12779613130504527
6767,146065,0,19,2000,0.35986119279689266,0.12779613130504527
6767,146065,0,19,5000,0.35986119279689266,0.12779613130504527
6767,146065,0,20,50,0.47118176785050314,0.16519610814787206
6767,146065,0,20,100,0.4302647306259514,0.16519610814787206
6767,146065,0,20,250,-0.14323928198100633,0.16519610814787206
6767,146065,0,20,500,0.4506318825548792,0.16519610814787206
6767,146065,0,20,1000,-0.21364380637293323,0.16519610814787206
6767,146065,0,20,2000,0.5079032820535004,0.16519610814787206
6767,146065,0,20,5000,0.4956221455447699,0.16519610814787206
6767,146065,0,21,50,0.14184143201573318,0.1273383378289422
6767,146065,0,21,100,0.33718358371080925,0.1273383378289422
6767,146065,0,21,250,0.3509237736219687,0.1273383378289422
6767,146065,0,21,500,-0.3889835786245298,0.1273383378289422
6767,146065,0,21,1000,0.40685761310833657,0.1273383378289422
6767,146065,0,21,2000,0.4081951731205906,0.1273383378289422
6767,146065,0,21,5000,0.5388501880169587,0.1273383378289422
6767,146065,0,22,50,0.1901141358235445,0.11843953704939478
6767,146065,0,22,100,-0.49252214577862186,0.11843953704939478
6767,146065,0,22,250,-0.36861569590829246,0.11843953704939478
6767,146065,0,22,500,0.23285481623914597,0.11843953704939478
6767,146065,0,22,1000,0.4083180550066532,0.11843953704939478
6767,146065,0,22,2000,0.24756786675584216,0.11843953704939478
6767,146065,0,22,5000,-0.3993789550209184,0.11843953704939478
6767,146065,0,23,50,0.4173151064260175,0.14723983990839642
6767,146065,0,23,100,0.48376650994689263,0.14723983990839642
6767,146065,0,23,250,0.2099350973174845,0.14723983990839642
6767,146065,0,23,500,0.35609157261921176,0.14723983990839642
6767,146065,0,23,1000,0.3528697871479651,0.14723983990839642
6767,146065,0,23,2000,0.5186657329153619,0.14723983990839642
6767,146065,0,23,5000,0.5088151219187085,0.14723983990839642
6767,146065,0,24,50,0.33049571057080906,0.104813565461782
6767,146065,0,24,100,0.397252035096499,0.104813565461782
6767,146065,0,24,250,0.44497891386297683,0.104813565461782
6767,146065,0,24,500,0.46078628183601855,0.104813565461782
6767,146065,0,24,1000,0.5082691872592787,0.104813565461782
6767,146065,0,24,2000,-0.273953819503719,0.104813565461782
6767,146065,0,24,5000,0.4967784337649461,0.104813565461782
6767,146065,1,5,50,0.42497452475439756,0.28929411914060765
6767,146065,1,5,100,0.4061880292361697,0.28929411914060765
6767,146065,1,5,250,0.4942837085877453,0.28929411914060765
6767,146065,1,5,500,0.5050447709537186,0.28929411914060765
6767,146065,1,5,1000,-0.3117112612570475,0.28929411914060765
6767,146065,1,5,2000,0.4703901790370447,0.28929411914060765
6767,146065,1,5,5000,-0.34223032779026274,0.28929411914060765
6767,146065,1,6,50,0.27559509472172783,0.2287222210469045
6767,146065,1,6,100,0.3356020868947036,0.2287222210469045
6767,146065,1,6,250,0.42521721921982336,0.2287222210469045
6767,146065,1,6,500,0.02067017288673889,0.2287222210469045
6767,146065,1,6,1000,0.3757285949473952,0.2287222210469045
6767,146065,1,6,2000,0.40527615283159657,0.2287222210469045
6767,146065,1,6,5000,-0.29760538537630277,0.2287222210469045
6767,146065,1,7,50,0.284714589554769,0.23463234717349385
6767,146065,1,7,100,0.3206457938220997,0.23463234717349385
6767,146065,1,7,250,0.41409273632492355,0.23463234717349385
6767,146065,1,7,500,0.3629609367874823,0.23463234717349385
6767,146065,1,7,1000,-0.37311573800164144,0.23463234717349385
6767,146065,1,7,2000,0.17691936902069877,0.23463234717349385
6767,146065,1,7,5000,0.4259480796078774,0.23463234717349385
6767,146065,1,8,50,0.3443570650178547,0.21500265756874312
6767,146065,1,8,100,0.3144446250301085,0.21500265756874312
6767,146065,1,8,250,-0.06857993117737415,0.21500265756874312
6767,146065,1,8,500,0.3759109263810714,0.21500265756874312
6767,146065,1,8,1000,0.4058232932900868,0.21500265756874312
6767,146065,1,8,2000,0.420597108771553,0.21500265756874312
6767,146065,1,8,5000,0.44357861576021795,0.21500265756874312
6767,146065,1,9,50,0.2174117092004367,0.20545345709263774
6767,146065,1,9,100,0.2830730951005681,0.20545345709263774
6767,146065,1,9,250,0.24404101412231863,0.20545345709263774
6767,146065,1,9,500,0.262462773694463,0.20545345709263774
6767,146065,1,9,1000,0.3053249840396052,0.20545345709263774
6767,146065,1,9,2000,-0.10566585247216553,0.20545345709263774
6767,146065,1,9,5000,0.31845723198813913,0.20545345709263774
6767,146065,1,10,50,0.19892933082098382,0.1995510303570439
6767,146065,1,10,100,0.31170866696209987,0.1995510303570439
6767,146065,1,10,250,-0.114908558045559,0.1995510303570439
6767,146065,1,10,500,-0.030824060616760962,0.1995510303570439
6767,146065,1,10,1000,0.22130187274479035,0.1995510303570439
6767,146065,1,10,2000,0.3388858065904158,0.1995510303570439
6767,146065,1,10,5000,0.3294008450239817,0.1995510303570439
6767,146065,1,11,50,-0.10390439928113904,0.22068943976286942
6767,146065,1,11,100,-0.24021274826306438,0.22068943976286942
6767,146065,1,11,250,0.21412893952822742,0.22068943976286942
6767,146065,1,11,500,0.4178614064791022,0.22068943976286942
6767,146065,1,11,1000,-0.35159302863984676,0.22068943976286942
6767,146065,1,11,2000,-0.11563813955582136,0.22068943976286942
6767,146065,1,11,5000,-0.14719105089553564,0.22068943976286942
6767,146065,1,12,50,0.243738175861335,0.2308538482585264
6767,146065,1,12,100,0.4007777184703276,0.2308538482585264
6767,146065,1,12,250,0.4154905862901961,0.2308538482585264
6767,146065,1,12,500,0.40582351252627935,0.2308538482585264
6767,146065,1,12,1000,-0.3109189781956452,0.2308538482585264
6767,146065,1,12,2000,0.28544409798630094,0.2308538482585264
6767,146065,1,12,5000,-0.3736011269324938,0.2308538482585264
6767,146065,1,13,50,0.09624165587050282,0.27653555649227346
6767,146065,1,13,100,-0.20592205188706791,0.27653555649227346
6767,146065,1,13,250,0.44953752855916823,0.27653555649227346
6767,146065,1,13,500,-0.04900429498317371,0.27653555649227346
6767,146065,1,13,1000,-0.3949419433329979,0.27653555649227346
6767,146065,1,13,2000,0.40752602772080904,0.27653555649227346
6767,146065,1,13,5000,0.4784782041223421,0.27653555649227346
6767,146065,1,14,50,0.4132424287511607,0.32760672565547244
6767,146065,1,14,100,0.3926917030501311,0.32760672565547244
6767,146065,1,14,250,0.45105727384763644,0.32760672565547244
6767,146065,1,14,500,-0.3262398975962354,0.32760672565547244
6767,146065,1,14,1000,0.5416461802624291,0.32760672565547244
6767,146065,1,14,2000,0.2510952309404831,0.32760672565547244
6767,146065,1,14,5000,-0.2367464778974836,0.32760672565547244
6767,146065,1,15,50,-0.259118544809539,0.3179247766895535
6767,146065,1,15,100,0.06596634344431218,0.3179247766895535
6767,146065,1,15,250,0.49373715275910246,0.3179247766895535
6767,146065,1,15,500,-0.22270173237516389,0.3179247766895535
6767,146065,1,15,1000,-0.19911279497498957,0.3179247766895535
6767,146065,1,15,2000,-0.15260132512201208,0.3179247766895535
6767,146065,1,15,5000,0.6756438528510063,0.3179247766895535
6767,146065,1,16,50,0.12968098503113779,0.28831232650789923
6767,146065,1,16,100,0.5691883481517519,0.28831232650789923
6767,146065,1,16,250,0.4835232673909845,0.28831232650789923
6767,146065,1,16,500,0.5893114901980963,0.28831232650789923
6767,146065,1,16,1000,0.5266287568314001,0.28831232650789923
6767,146065,1,16,2000,0.6053010069079867,0.28831232650789923
6767,146065,1,16,5000,-0.22926701594402477,0.28831232650789923
6767,146065,1,17,50,0.658378381499038,0.32023004212941597
6767,146065,1,17,100,0.46157534943326006,0.32023004212941597
6767,146065,1,17,250,-0.009605979944857457,0.32023004212941597
6767,146065,1,17,500,0.6353358537700442,0.32023004212941597
6767,146065,1,17,1000,0.6563102168742887,0.32023004212941597
6767,146065,1,17,2000,0.6212907428540697,0.32023004212941597
6767,146065,1,17,5000,-0.24477180143164112,0.32023004212941597
6767,146065,1,18,50,-0.1750970777861699,0.3152989821370843
6767,146065,1,18,100,0.570524702364945,0.3152989821370843
6767,146065,1,18,250,0.5164758191248799,0.3152989821370843
6767,146065,1,18,500,0.6133263669815098,0.3152989821370843
6767,146065,1,18,1000,0.5473607543245071,0.3152989821370843
6767,146065,1,18,2000,-0.2404551138742016,0.3152989821370843
6767,146065,1,18,5000,0.5582439312498692,0.3152989821370843
6767,146065,1,19,50,-0.3196747601848363,0.32795799265410003
6767,146065,1,19,100,0.5803132695190371,0.32795799265410003
6767,146065,1,19,250,0.5834748746553613,0.32795799265410003
6767,146065,1,19,500,0.5825630347901534,0.32795799265410003
6767,146065,1,19,1000,-0.11271879041253796,0.32795799265410003
6767,146065,1,19,2000,-0.24464946763606077,0.32795799265410003
6767,146065,1,19,5000,-0.25370947638212327,0.32795799265410003
6767,146065,1,20,50,0.4502662331246595,0.2983933998261969
6767,146065,1,20,100,0.5282096324782932,0.2983933998261969
6767,146065,1,20,250,0.5279062461268278,0.2983933998261969
6767,146065,1,20,500,0.5166581140191906,0.2983933998261969
6767,146065,1,20,1000,0.6064559066322754,0.2983933998261969
6767,146065,1,20,2000,0.546084141973851,0.2983933998261969
6767,146065,1,20,5000,0.5436524472020787,0.2983933998261969
6767,146065,1,21,50,0.12755421126418087,0.32533661730413926
6767,146065,1,21,100,0.5186037256121663,0.32533661730413926
6767,146065,1,21,250,0.4816994049637413,0.32533661730413926
6767,146065,1,21,500,0.6322345385867396,0.32533661730413926
6767,146065,1,21,1000,0.5949655185315974,0.32533661730413926
6767,146065,1,21,2000,-0.28720690313384944,0.32533661730413926
6767,146065,1,21,5000,0.4856513931144638,0.32533661730413926
6767,146065,1,22,50,0.507173517846411,0.3179814422052885
6767,146065,1,22,100,0.549732049525164,0.3179814422052885
6767,146065,1,22,250,0.6319918441213135,0.3179814422052885
6767,146065,1,22,500,0.6431780054651204,0.3179814422052885
6767,146065,1,22,1000,0.5785502816746609,0.3179814422052885
6767,146065,1,22,2000,0.4650414736413789,0.3179814422052885
6767,146065,1,22,5000,0.547968988602057,0.3179814422052885
6767,146065,1,23,50,0.4319669900449232,0.30541007559744554
6767,146065,1,23,100,0.6178264090748588,0.30541007559744554
6767,146065,1,23,250,0.4298990811957318,0.30541007559744554
6767,146065,1,23,500,-0.12299351382415669,0.30541007559744554
6767,146065,1,23,1000,-0.1906003651598025,0.30541007559744554
6767,146065,1,23,2000,-0.28708741940877525,0.30541007559744554
6767,146065,1,23,5000,-0.1906003651598025,0.30541007559744554
6767,146065,1,24,50,0.5509490661707448,0.31118169500494264
6767,146065,1,24,100,0.5413419535055578,0.31118169500494264
6767,146065,1,24,250,-0.1455495564413345,0.31118169500494264
6767,146065,1,24,500,0.6217176322608108,0.31118169500494264
6767,146065,1,24,1000,0.560919270510569,0.31118169500494264
6767,146065,1,24,2000,-0.22014733841415646,0.31118169500494264
6767,146065,1,24,5000,-0.208111198350876,0.31118169500494264
6767,146065,2,5,50,-0.03720796277544838,0.04967024691342406
6767,146065,2,5,100,-0.6063938627897134,0.04967024691342406
6767,146065,2,5,250,-0.03927506775859935,0.04967024691342406
6767,146065,2,5,500,-0.14250915238026193,0.04967024691342406
6767,146065,2,5,1000,-0.03185779580516396,0.04967024691342406
6767,146065,2,5,2000,-0.03246573776778974,0.04967024691342406
6767,146065,2,5,5000,-0.03246573776778974,0.04967024691342406
6767,146065,2,6,50,-0.0347761949249453,0.04882877015109939
6767,146065,2,6,100,-0.029182748859387236,0.04882877015109939
6767,146065,2,6,250,-0.03745116879199109,0.04882877015109939
6767,146065,2,6,500,-0.03866705271724269,0.04882877015109939
6767,146065,2,6,1000,-0.04073415770039365,0.04882877015109939
6767,146065,2,6,2000,-0.03866705271724269,0.04882877015109939
6767,146065,2,6,5000,0.09982898115387204,0.04882877015109939
6767,146065,2,7,50,-0.03392497386704588,0.04801745389805643
6767,146065,2,7,100,-0.040369494833041475,0.04801745389805643
6767,146065,2,7,250,-0.030398632784638807,0.04801745389805643
6767,146065,2,7,500,-0.030398632784638807,0.04801745389805643
6767,146065,2,7,1000,-0.034532842750940734,0.04801745389805643
6767,146065,2,7,2000,-0.10068020221177176,0.04801745389805643
6767,146065,2,7,5000,-0.034532842750940734,0.04801745389805643
6767,146065,2,8,50,-0.043409423882363185,0.04658775679035166
6767,146065,2,8,100,-0.03477612184621437,0.04658775679035166
6767,146065,2,8,250,-0.03866712579597359,0.04658775679035166
6767,146065,2,8,500,-0.045476382708052265,0.04658775679035166
6767,146065,2,8,1000,-0.16196534138875315,0.04658775679035166
6767,146065,2,8,2000,-0.039275067758599375,0.04658775679035166
6767,146065,2,8,5000,-0.04134217274175034,0.04658775679035166
6767,146065,2,9,50,-0.03356016484223187,0.04649607864912885
6767,146065,2,9,100,-0.03647849088328223,0.04649607864912885
6767,146065,2,9,250,-0.02857422226691403,0.04649607864912885
6767,146065,2,9,500,-0.03453291582967169,0.04649607864912885
6767,146065,2,9,1000,-0.02857422226691403,0.04649607864912885
6767,146065,2,9,2000,-0.03720796277544841,0.04649607864912885
6767,146065,2,9,5000,-0.03161458978862133,0.04649607864912885
6767,146065,2,10,50,-0.03185779580516401,0.04321614982361201
6767,146065,2,10,100,-0.02444059693045955,0.04321614982361201
6767,146065,2,10,250,-0.03842413901562372,0.04321614982361201
6767,146065,2,10,500,0.0015805467926035266,0.04321614982361201
6767,146065,2,10,1000,-0.036599947734091726,0.04321614982361201
6767,146065,2,10,2000,-0.021034762675359808,0.04321614982361201
6767,146065,2,10,5000,-0.0324657377677898,0.04321614982361201
6767,146065,2,11,50,-0.04340935080363223,0.04140888000287101
6767,146065,2,11,100,-0.043774086749715335,0.04140888000287101
6767,146065,2,11,250,-0.044017292766258015,0.04140888000287101
6767,146065,2,11,500,-0.036843226829365305,0.04140888000287101
6767,146065,2,11,1000,-0.02979069082201305,0.04140888000287101
6767,146065,2,11,2000,-0.20768522242827198,0.04140888000287101
6767,146065,2,11,5000,-0.04632753068722076,0.04140888000287101
6767,146065,2,12,50,0.02516977650770194,0.04026654043095688
6767,146065,2,12,100,-0.04219346687838069,0.04026654043095688
6767,146065,2,12,250,-0.44357920039006515,0.04026654043095688
6767,146065,2,12,500,-0.04280140884100647,0.04026654043095688
6767,146065,2,12,1000,-0.0336816947717723,0.04026654043095688
6767,146065,2,12,2000,-0.12974098266923287,0.04026654043095688
6767,146065,2,12,5000,-0.0363568878750109,0.04026654043095688
6767,146065,2,13,50,0.04243711136730889,0.04222924709890463
6767,146065,2,13,100,0.1031124816133911,0.04222924709890463
6767,146065,2,13,250,-0.03538413688757108,0.04222924709890463
6767,146065,2,13,500,-0.03538413688757108,0.04222924709890463
6767,146065,2,13,1000,-0.8377905756499331,0.04222924709890463
6767,146065,2,13,2000,-0.04377467137956281,0.04222924709890463
6767,146065,2,13,5000,-0.03781597781680515,0.04222924709890463
6767,146065,2,14,50,0.03501859707544763,0.038822172245400806
6767,146065,2,14,100,-0.37208057777798587,0.038822172245400806
6767,146065,2,14,250,0.05386713643623674,0.038822172245400806
6767,146065,2,14,500,-0.024197317835185944,0.038822172245400806
6767,146065,2,14,1000,-0.8245366516143969,0.038822172245400806
6767,146065,2,14,2000,0.04523339592770231,0.038822172245400806
6767,146065,2,14,5000,0.04523339592770231,0.038822172245400806
6767,146065,2,15,50,0.03672286615951953,0.037620806733067017
6767,146065,2,15,100,-0.014834616985601845,0.037620806733067017
6767,146065,2,15,250,-0.33171086370875147,0.037620806733067017
6767,146065,2,15,500,-0.00376991249260461,0.037620806733067017
6767,146065,2,15,1000,-0.7040365475502842,0.037620806733067017
6767,146065,2,15,2000,-0.015928897902582062,0.037620806733067017
6767,146065,2,15,5000,-0.027237246884507654,0.037620806733067017
6767,146065,2,16,50,-0.013132394105995843,0.032749453527659414
6767,146065,2,16,100,-0.05879107170835854,0.032749453527659414
6767,146065,2,16,250,-0.0015190510405242996,0.032749453527659414
6767,146065,2,16,500,-0.016354691128359078,0.032749453527659414
6767,146065,2,16,1000,-0.03137131069334764,0.032749453527659414
6767,146065,2,16,2000,-0.025413274839168387,0.032749453527659414
6767,146065,2,16,5000,-0.028453057731028214,0.032749453527659414
6767,146065,2,17,50,-0.8536581239578972,0.03019546571855928
6767,146065,2,17,100,-0.05447442069028413,0.03019546571855928
6767,146065,2,17,250,-0.057939923729190074,0.03019546571855928
6767,146065,2,17,500,-0.05441365572551393,0.03019546571855928
6767,146065,2,17,1000,-0.05544724475645488,0.03019546571855928
6767,146065,2,17,2000,-0.05441365572551393,0.03019546571855928
6767,146065,2,17,5000,-0.019698298844069956,0.03019546571855928
6767,146065,2,18,50,-0.03161466286735229,0.03885065270191434
6767,146065,2,18,100,-0.8373650016603489,0.03885065270191434
6767,146065,2,18,250,-0.8332304993791232,0.03885065270191434
6767,146065,2,18,500,-0.026021216801794228,0.03885065270191434
6767,146065,2,18,1000,-0.025170068822625763,0.03885065270191434
6767,146065,2,18,2000,-0.02480525979781173,0.03885065270191434
6767,146065,2,18,5000,-0.028939469764113657,0.03885065270191434
6767,146065,2,19,50,-0.026142892888796454,0.03656290224978353
6767,146065,2,19,100,-0.022555859920350113,0.03656290224978353
6767,146065,2,19,250,-0.022738227893391666,0.03656290224978353
6767,146065,2,19,500,-0.029790690822013022,0.03656290224978353
6767,146065,2,19,1000,-0.022738227893391666,0.03656290224978353
6767,146065,2,19,2000,-0.02334616985601745,0.03656290224978353
6767,146065,2,19,5000,-0.023954111818643237,0.03656290224978353
6767,146065,2,20,50,-0.04687485384253812,0.03713202679535122
6767,146065,2,20,100,-0.5281493425252736,0.03713202679535122
6767,146065,2,20,250,-0.03732978501991249,0.03713202679535122
6767,146065,2,20,500,-0.039457691507199105,0.03713202679535122
6767,146065,2,20,1000,-0.03216202256203507,0.03713202679535122
6767,146065,2,20,2000,-0.037998674644135755,0.03713202679535122
6767,146065,2,20,5000,-0.0623776662044192,0.03713202679535122
6767,146065,2,21,50,-0.01726645791483586,0.0354529240948931
6767,146065,2,21,100,-0.6767380972286208,0.0354529240948931
6767,146065,2,21,250,-0.01246346794240702,0.0354529240948931
6767,146065,2,21,500,-0.03343878107015327,0.0354529240948931
6767,146065,2,21,1000,-0.011612356502604032,0.0354529240948931
6767,146065,2,21,2000,-0.012037967031553715,0.0354529240948931
6767,146065,2,21,5000,-0.0266903256622103,0.0354529240948931
6767,146065,2,22,50,-0.008754868505054803,0.03777675958374139
6767,146065,2,22,100,-0.03884974954457335,0.03777675958374139
6767,146065,2,22,250,-0.03964013255897164,0.03777675958374139
6767,146065,2,22,500,-0.035931569660984874,0.03777675958374139
6767,146065,2,22,1000,-0.6619036264004807,0.03777675958374139
6767,146065,2,22,2000,-0.040734559633413686,0.03777675958374139
6767,146065,2,22,5000,-0.0398834481936107,0.03777675958374139
6767,146065,2,23,50,-0.019637643497396134,0.036260246318601794
6767,146065,2,23,100,-0.07575414327172893,0.036260246318601794
6767,146065,2,23,250,-0.033134773549474916,0.036260246318601794
6767,146065,2,23,500,0.05708826419890506,0.036260246318601794
6767,146065,2,23,1000,-0.034837069507811846,0.036260246318601794
6767,146065,2,23,2000,-0.038180969538446435,0.036260246318601794
6767,146065,2,23,5000,-0.03818096953844641,0.036260246318601794
6767,146065,2,24,50,0.012523977131618763,0.08467480726464685
6767,146065,2,24,100,0.006505103233938436,0.08467480726464685
6767,146065,2,24,250,0.15868169477177216,0.08467480726464685
6767,146065,2,24,500,0.1512036213142011,0.08467480726464685
6767,146065,2,24,1000,0.17351638483610507,0.08467480726464685
6767,146065,2,24,2000,0.20829250668231922,0.08467480726464685
6767,146065,2,24,5000,0.21376475167262615,0.08467480726464685
6767,145804,0,5,50,0.5902251835910741,0.27535236339120267
6767,145804,0,5,100,0.6171752495780973,0.27535236339120267
6767,145804,0,5,250,-0.26192561208520493,0.27535236339120267
6767,145804,0,5,500,0.16902454357059554,0.27535236339120267
6767,145804,0,5,1000,-0.350549978080965,0.27535236339120267
6767,145804,0,5,2000,-0.32462569033462485,0.27535236339120267
6767,145804,0,5,5000,-0.3424994750161324,0.27535236339120267
6767,145804,0,6,50,-0.2339254825636382,0.2891304272146453
6767,145804,0,6,100,0.30502408123991204,0.2891304272146453
6767,145804,0,6,250,-0.29937478061805545,0.2891304272146453
6767,145804,0,6,500,0.801999891554427,0.2891304272146453
6767,145804,0,6,1000,0.23704901682400803,0.2891304272146453
6767,145804,0,6,2000,0.685974912285542,0.2891304272146453
6767,145804,0,6,5000,0.6760249831008841,0.2891304272146453
6767,145804,0,7,50,0.03480025130249653,0.2848919742181225
6767,145804,0,7,100,-0.2424259341647237,0.2848919742181225
6767,145804,0,7,250,-0.3083254202553336,0.2848919742181225
6767,145804,0,7,500,-0.4056251446579635,0.2848919742181225
6767,145804,0,7,1000,-0.4056251446579635,0.2848919742181225
6767,145804,0,7,2000,-0.20537481453124706,0.2848919742181225
6767,145804,0,7,5000,-0.4068247759046968,0.2848919742181225
6767,145804,0,8,50,0.12617486695299363,0.26582882988069806
6767,145804,0,8,100,-0.1819752393466595,0.26582882988069806
6767,145804,0,8,250,0.006148873545564704,0.26582882988069806
6767,145804,0,8,500,-0.27647461070721857,0.26582882988069806
6767,145804,0,8,1000,0.24344929345601846,0.26582882988069806
6767,145804,0,8,2000,0.22325013201236643,0.26582882988069806
6767,145804,0,8,5000,0.24344929345601846,0.26582882988069806
6767,145804,0,9,50,0.007399422479426265,0.25841681902746233
6767,145804,0,9,100,-0.22255045688924446,0.25841681902746233
6767,145804,0,9,250,-0.038874911672422297,0.25841681902746233
6767,145804,0,9,500,0.2462741712918896,0.25841681902746233
