ss,task,seed,step,N,over_full,K_ak,over_ak,sigma_t
6767,146064,0,21,46045,0.33811271102938334,1454,0.3009847223143226,0.0862341554594432
6767,146064,0,22,46044,0.3085342990228336,1191,0.38747119573256894,0.11254206132759877
6767,146064,0,23,46043,0.31020694970831253,1275,0.36047355788440977,0.10272604728931838
6767,146064,0,24,46042,-0.535120616607921,1000,-0.1291574371863995,0.14735733440783305
6767,146064,1,5,46061,-0.12113010070919822,1000,0.30036315374688216,0.18121090224717304
6767,146064,1,6,46060,0.2838303490815792,1063,-0.5729650988558631,0.16706040426228377
6767,146064,1,7,46059,0.29176246835303155,1052,-0.13460461055312678,0.16929350589735911
6767,146064,1,8,46058,0.3055236659389351,1016,0.29888189389572695,0.1774991294252851
6767,146064,1,9,46057,-0.5546165520234505,1001,-0.5467323601624813,0.18104669418584002
6767,146064,1,10,46056,0.4757267060032748,1000,-0.07024107381203765,0.23469683473912578
6767,146064,1,11,46055,0.534022643204127,1000,0.4863352151483773,0.23045999727554012
6767,146064,1,12,46054,-0.3084865310161544,1000,-0.41121975897294627,0.24303270263611623
6767,146064,1,13,46053,-0.23996592903087588,1000,0.21511917984829843,0.26836547398583593
6767,146064,1,14,46052,-0.22988363841096093,1000,-0.2702124023811102,0.2619395078964063
6767,146064,1,15,46051,0.11291113429196664,1000,-0.2135418792050724,0.26628927371703487
6767,146064,1,16,46050,0.07172233366319303,1000,0.08572319486881264,0.25843367333933964
6767,146064,1,17,46049,0.31756518871710115,1000,-0.2829227303873809,0.25088991749454326
6767,146064,1,18,46048,-0.24612975533428882,1000,0.4971814750675452,0.24178210977897358
6767,146064,1,19,46047,0.15515130927908682,1000,0.6121941359803718,0.22550075505602615
6767,146064,1,20,46046,-0.22477084109098522,1000,0.5798458703362699,0.22823021603666896
6767,146064,1,21,46045,-0.15027732542520444,1000,-0.2289757806110564,0.24161401859270773
6767,146064,1,22,46044,-0.20073532443562547,1000,-0.06985823900878929,0.23010882553711967
6767,146064,1,23,46043,0.571244627029104,1000,0.5335915356154854,0.23977754863394707
6767,146064,1,24,46042,0.5114198479415232,1000,0.09967469402971152,0.2376812915520398
6767,146064,2,5,46061,0.5272842193209317,1000,0.49990459682314625,0.29501755518737877
6767,146064,2,6,46060,-0.0609708127383618,1105,-0.06656219341334968,0.25810428892035603
6767,146064,2,7,46059,-0.17923448767192218,1168,0.19562300532706278,0.23971045287159165
6767,146064,2,8,46058,0.5946585485497231,1132,0.5946585485497231,0.25001835660283406
6767,146064,2,9,46057,-0.29802212291011,1114,0.5701936511802682,0.25540964428699897
6767,146064,2,10,46056,0.6420111754819091,1115,-0.2134466619993236,0.2550468105598806
6767,146064,2,11,46055,0.5822356521698471,1158,0.22921552393267464,0.2424876229066725
6767,146064,2,12,46054,0.2063263597357039,1290,-0.29123680774115923,0.2100369546805666
6767,146064,2,13,46053,-0.29114082008368936,1312,0.5700501080545253,0.2053246010945401
6767,146064,2,14,46052,0.5695723748531356,1474,-0.13589426703155272,0.17586760532060242
6767,146064,2,15,46051,-0.010703992023859077,1211,0.5645551666811193,0.22859899420073831
6767,146064,2,16,46050,0.5569097882862429,1304,-0.24163818120684422,0.20716488056178137
6767,146064,2,17,46049,0.5736338243820654,1559,-0.203124654625091,0.1631735296711557
6767,146064,2,18,46048,0.16064585214298177,1208,0.5534216876739623,0.22936857342467734
6767,146064,2,19,46047,0.20580061942192895,1318,-0.2085244850619511,0.20409545890198574
6767,146064,2,20,46046,-0.3157964706722506,1343,-0.21081804013235217,0.19906176302832868
6767,146064,2,21,46045,-0.2650521292947635,1335,-0.27613744178573074,0.20061614315105003
6767,146064,2,22,46044,-0.24469586498030216,1492,0.60899325445608,0.1730866060728805
6767,146064,2,23,46043,-0.2505262982270896,1360,0.6314510719587026,0.19587550450410163
6767,146064,2,24,46042,-0.05848581369903594,1321,-0.2467987199661983,0.2035089947416225
6767,9914,0,5,47405,-0.0020096521185474225,1000,-0.20067181349849428,0.19481008927158297
6767,9914,0,6,47404,-0.16919570502430964,1147,-0.15528840588099158,0.16233579955711108
6767,9914,0,7,47403,-0.11183180423709355,1074,-0.5113614986107902,0.17702405055643447
6767,9914,0,8,47402,-0.48325748147719366,1096,0.024006931581384117,0.1723038410227819
6767,9914,0,9,47401,0.4787794483676769,1000,0.501207961912479,0.23522273596198143
6767,9914,0,10,47400,-0.00644173998610742,1000,-0.3558712230840472,0.21239381003801966
6767,9914,0,11,47399,0.13980702998379307,1000,-0.23438947094234863,0.21331529832387572
6767,9914,0,12,47398,0.5344791907849029,1000,-0.43482034325075297,0.20035176758754702
6767,9914,0,13,47397,0.4376584568187071,1077,0.43683614551979544,0.17650011184458742
6767,9914,0,14,47396,-0.14511714227830463,1000,0.4961992069923587,0.20929394883616792
6767,9914,0,15,47395,-0.4700400845103039,1000,-0.40693158138458096,0.2100770161391561
6767,9914,0,16,47394,-0.2100120832368607,1000,-0.22570292602454223,0.2295470958704003
6767,9914,0,17,47393,0.5686479798564477,1000,-0.31571689048390916,0.25368935644271223
6767,9914,0,18,47392,-0.18846774426950663,1000,-0.08104921567492518,0.24106109176527443
6767,9914,0,19,47391,0.19482229682796903,1000,0.6087183809909691,0.23483279863123122
6767,9914,0,20,47390,0.5657328085204902,1000,0.6231509753415135,0.23389671428056016
6767,9914,0,21,47389,0.5130242098865472,1000,-0.042684938643204995,0.23765223176515549
6767,9914,0,22,47388,-0.27415815292891743,1000,-0.37612764818245004,0.24378878822437114
6767,9914,0,23,47387,-0.27094451840703815,1000,-0.3302167747163699,0.23752520360957582
6767,9914,0,24,47386,-0.2870188411669373,1000,-0.23647726614957176,0.2502662414783834
6767,9914,1,5,47405,-0.251643537277149,1000,-0.6727132293354934,0.11740956717506454
6767,9914,1,6,47404,-0.15027494790460688,1000,-0.23027429671220212,0.158565412846075
6767,9914,1,7,47403,-0.029827868140773095,1000,6.331037277046425e-05,0.16466076744634628
6767,9914,1,8,47402,0.34054323917573515,1000,0.3390480290576523,0.14948910562583972
6767,9914,1,9,47401,-0.07716449120166657,1000,-0.15782697094234766,0.12559473098009727
6767,9914,1,10,47400,0.01875361773558698,1000,0.3985608647835145,0.12543586446305954
6767,9914,1,11,47399,-0.10106976441305948,1000,-0.10107663811067435,0.14062170957817788
6767,9914,1,12,47398,-0.0843384608705724,1000,0.30354212491317395,0.12055573021851845
6767,9914,1,13,47397,0.3212603467237783,1015,-0.5157179758045839,0.11515456464344265
6767,9914,1,14,47396,0.33247351817550386,1135,-0.05922269333179003,0.09919148462799456
6767,9914,1,15,47395,-0.007703244385273811,1291,-0.1007702159064599,0.08351307228324299
6767,9914,1,16,47394,0.31101745195647124,1943,-0.10026735065987569,0.04843903716390418
6767,9914,1,17,47393,-0.45342961333641796,1284,0.4333989349386435,0.08409823315812154
6767,9914,1,18,47392,-0.29344068360731734,1025,-0.05793116172725188,0.11357621358666121
6767,9914,1,19,47391,-0.27699952245890225,1000,0.30180416473720617,0.126396059159537
6767,9914,1,20,47390,0.7356625520953914,1000,0.3500231535077559,0.15873280990458596
6767,9914,1,21,47389,0.305392958439452,1000,0.7361115130817306,0.1383691729563212
6767,9914,1,22,47388,-0.13561950104190945,1000,0.017949756888167356,0.12886177793367945
6767,9914,1,23,47387,0.3178202419541564,1000,0.7746157964806657,0.11782688030460986
6767,9914,1,24,47386,0.7204137965964335,1000,-0.1113249594813609,0.14909568892595398
6767,9914,2,5,47405,0.3222223026163466,1000,0.31519521301227155,0.1945017673469145
6767,9914,2,6,47404,0.2731795554526511,1175,0.2731795554526511,0.15687618063697728
6767,9914,2,7,47403,-0.5161539129428101,1614,0.2706370108821487,0.10276826571000952
6767,9914,2,8,47402,0.1994443158138447,1000,0.5491993951146094,0.22493168828695637
6767,9914,2,9,47401,-0.42270527031720273,1039,0.4294197875665672,0.18481667904615923
6767,9914,2,10,47400,0.023469697846725257,1000,0.60288116462144,0.19571255899682918
6767,9914,2,11,47399,0.15244016265339289,1000,-0.11543217469321565,0.2193825537524063
6767,9914,2,12,47398,0.06181516265339293,1000,-0.16800221405418003,0.20660511120782357
6767,9914,2,13,47397,0.6515378993980091,1930,0.6614237236628847,0.08095270116957241
6767,9914,2,14,47396,-0.1494584249826354,1196,-0.5320791849965265,0.15316283560927707
6767,9914,2,15,47395,-0.4351144651539709,1270,0.5296914795091449,0.14147038971917353
6767,9914,2,16,47394,-0.37583533514702494,1000,-0.17951095450335575,0.1996385231146956
6767,9914,2,17,47393,-0.18571681812919738,1000,-0.25301104132901187,0.20683639155991346
6767,9914,2,18,47392,-0.26726926082426483,1107,-0.06855500405186354,0.16994663673543656
6767,9914,2,19,47391,-0.17711637531836044,1000,-0.38025078143088664,0.2458449053584206
6767,9914,2,20,47390,-0.2009514644593654,1000,0.6404907820097242,0.24639993540175129
6767,9914,2,21,47389,-0.19969068360731612,1000,0.641236035540634,0.20104499557959737
6767,9914,2,22,47388,0.0017231274600617574,1000,0.4536539129428106,0.21750301482136672
6767,9914,2,23,47387,0.6365264673535532,1000,0.15915974473257766,0.2629750579176519
6767,9914,2,24,47386,-0.1914737207686973,1000,-0.1352504920120401,0.24995921364877297
6767,9967,0,5,48619,-0.08690476033284877,1000,0.5490434803562985,0.3551653878351548
6767,9967,0,6,48618,0.42755106015512123,1217,-0.20091315251233943,0.27340848964881154
6767,9967,0,7,48617,0.46692111192829644,1241,-0.19800293328509477,0.2663127427612642
6767,9967,0,8,48616,-0.21908897334361532,1198,-0.20631386645663397,0.2790010904943031
6767,9967,0,9,48615,-0.20584726748285453,1334,-0.23637450946864158,0.24181967879857164
6767,9967,0,10,48614,-0.19370764793184603,1285,-0.26324426415014623,0.25427340629220063
6767,9967,0,11,48613,-0.2038690083212077,1350,-0.23994315811086686,0.23802077907282393
6767,9967,0,12,48612,-0.14283581591936045,1324,-0.16651719929701547,0.24421030542986275
6767,9967,0,13,48611,-0.1974259977658709,1366,-0.23375688427421182,0.23443576513415135
6767,9967,0,14,48610,0.2001269324162661,1458,-0.10578118109123735,0.21487361606092586
6767,9967,0,15,48609,-0.15761014343585866,1591,-0.1578009423087584,0.19116979813364096
6767,9967,0,16,48608,-0.22591436563666079,1505,-0.13273800013732218,0.20583825495518068
6767,9967,0,17,48607,-0.2735757507836617,1720,-0.17246984354492467,0.17235807884447568
6767,9967,0,18,48606,0.13873425909298553,1717,-0.019663053481782322,0.17280201854279983
6767,9967,0,19,48605,-0.24776743862086126,1699,-0.07359732293996701,0.17514683440343756
6767,9967,0,20,48604,-0.24313363381405007,1764,-0.1530598956614052,0.166673179043273
6767,9967,0,21,48603,-0.11330820487969806,1570,-0.13214340416879022,0.19458894914742775
6767,9967,0,22,48602,0.17049199701059725,1629,-0.04315512344489025,0.18534728276267115
6767,9967,0,23,48601,0.1263178903982618,1670,-0.1357785270723132,0.179246614404826
6767,9967,0,24,48600,0.2631387553443494,1748,0.23762769990308208,0.16873363185696236
6767,9967,1,5,48619,0.5272961224915556,1000,0.5442806057237016,0.29329266862001785
6767,9967,1,6,48618,-0.2943665559945182,1000,0.15240373569668608,0.3462703907652071
6767,9967,1,7,48617,-0.16621849837986058,1000,-0.30021253608013343,0.3370752694698894
6767,9967,1,8,48616,-0.24874540663267075,1000,0.25025558136218506,0.3149989518796704
6767,9967,1,9,48615,-0.22684793494880828,1000,-0.24612910184566594,0.3031143803280232
6767,9967,1,10,48614,-0.15554779082633763,1090,0.6617971966429962,0.2613437776039696
6767,9967,1,11,48613,-0.19304905346593804,1261,-0.24542961601231728,0.2151823597045489
6767,9967,1,12,48612,0.6567806799966195,1274,0.5618422720514638,0.2123243618064505
6767,9967,1,13,48611,-0.1344180122718669,1339,-0.13471543404432862,0.19872582427464308
6767,9967,1,14,48610,-0.13743617480609893,1657,0.6611594811194942,0.14957716628345422
6767,9967,1,15,48609,-0.17104417489060442,1808,-0.16632512127942223,0.13312749859566042
6767,9967,1,16,48608,-0.20556907414351822,1546,-0.21326465619231472,0.1640451482757105
6767,9967,1,17,48607,-0.2453009175511197,1812,0.7230874971281138,0.13276971546303618
6767,9967,1,18,48606,-0.11160562203073388,1857,0.13020867718943396,0.12848080351918606
6767,9967,1,19,48605,0.23507506351159746,1753,0.44895841310794854,0.13876206517934436
6767,9967,1,20,48604,-0.11069371565290198,2129,-0.021067265515447353,0.10710847718270045
6767,9967,1,21,48603,0.4833765656731038,1926,-0.08429080752156903,0.12240263283190121
6767,9967,1,22,48602,0.10710109336336826,2354,0.7684313609307288,0.09363747239137321
6767,9967,1,23,48601,0.3339705674582947,2212,0.3342697635282342,0.10177749368086256
6767,9967,1,24,48600,-0.1260398208471205,1878,-0.16307440198747736,0.12658993845256294
6767,9967,2,5,48619,0.5124355146023852,1000,0.5232570787042043,0.3761070468777691
6767,9967,2,6,48618,0.012415295863691278,1010,-0.2910496512803995,0.37114235474528934
6767,9967,2,7,48617,-0.20848098514277602,1081,-0.2524878539022005,0.33881126429917857
6767,9967,2,8,48616,0.49130449816595356,1055,0.49538719792379093,0.350092713618333
6767,9967,2,9,48615,-0.06655984020429384,1128,0.495472487990894,0.3202571272490548
6767,9967,2,10,48614,0.6201090458471863,1128,0.429081783725186,0.32045484147640707
6767,9967,2,11,48613,0.19198521770877586,1059,-0.22208844386023807,0.3485490165206672
6767,9967,2,12,48612,-0.20310457494764633,1104,0.7346712664159649,0.3294335394189869
6767,9967,2,13,48611,0.16979292380456856,1127,0.03769193772430368,0.32077057236560286
6767,9967,2,14,48610,-0.2977448183911632,1129,0.13320645593404234,0.32008117324726554
6767,9967,2,15,48609,-0.21031123488463632,1123,-0.22315013395533345,0.32208879250152156
6767,9967,2,16,48608,-0.2164108157212996,1123,-0.24517444727745252,0.3221911043428016
6767,9967,2,17,48607,-0.1870966567944209,1156,-0.18860579995563476,0.3101679650768853
6767,9967,2,18,48606,-0.20488988957432752,1181,-0.2599920593998487,0.30136475028825677
6767,9967,2,19,48605,-0.19055979663084888,1276,-0.19761923113996094,0.27166987269782084
6767,9967,2,20,48604,-0.2852677934803567,1288,-0.23624535711739258,0.2684043251784108
6767,9967,2,21,48603,0.30065974156985853,1301,0.3487663928581803,0.26488765304897427
6767,9967,2,22,48602,0.1650079736103368,1321,-0.16889826524872564,0.25961264532419115
6767,9967,2,23,48601,-0.2323552717926649,1288,-0.2323552717926649,0.26846364827523406
6767,9967,2,24,48600,-0.24916909236514007,1217,-0.1873084583979231,0.2894990883909489
6767,31,0,5,68243,0.29713541666666726,1000,0.28658854166666703,0.1497968184467542
6767,31,0,6,68242,0.02994791666666674,1000,-0.09921874999999991,0.1977991060143691
6767,31,0,7,68241,-0.11679687500000036,1000,-0.14518229166666707,0.176100084194472
6767,31,0,8,68240,0.3515625000000002,1000,-0.15742187500000027,0.16767147298698115
6767,31,0,9,68239,-0.10794270833333341,1000,-0.21835937500000024,0.18116704052973875
6767,31,0,10,68238,-0.1170572916666669,1000,-0.1473958333333335,0.1578757952005425
6767,31,0,11,68237,-0.12382812500000029,1000,-0.10950520833333366,0.16143926512857432
6767,31,0,12,68236,0.09101562499999982,1000,-0.1687500000000003,0.1592471557263819
6767,31,0,13,68235,-0.17604166666666687,1018,0.2938802083333337,0.1463062549828145
6767,31,0,14,68234,0.10429687500000073,1000,0.4174479166666675,0.1601014227935841
6767,31,0,15,68233,0.48450520833333355,1000,0.4934895833333326,0.15039104625109945
6767,31,0,16,68232,-0.14192708333333315,1000,-0.25039062499999976,0.18394474656420565
6767,31,0,17,68231,0.2966145833333339,1000,-0.017838541666666652,0.17875641873567655
6767,31,0,18,68230,-0.12630208333333304,1000,-0.06861979166666698,0.1605067482652767
6767,31,0,19,68229,0.4416666666666671,1000,0.3464843750000006,0.16016986312291065
6767,31,0,20,68228,-0.028776041666666363,1000,-0.15143229166666672,0.16389123581043824
